赵谷歌	201900800110	40 	70 	82 	53 	53 	51 	39 	49 	8 	84 	14 	87 	8 	57 	11 	67 	27 	61 	80 	17 	96 	71 	93 	80 	2 	46 	8 	14 	9 	58 	87 	78 	26 	42 	15 	17 	17 	72 	39 	65 	16 	90 	11 	57 	43 	96 	66 	69 	26 	4 	13 	14 	6 	56 	21 	49 	39 	70 	67 	59 	19 	1 	81 	49 	65 	72 	19 	14 	2 	95 	99 	82 	82 	81 	10 	48 	69 	42 	83 	70 	84 	60 	58 	50 	34 	26 	9 	80 	46 	43 
钱微软	201900800111	66 	9 	44 	26 	62 	59 	79 	24 	36 	58 	91 	66 	70 	33 	26 	1 	78 	42 	77 	84 	64 	44 	45 	59 	87 	7 	7 	41 	88 	94 	38 	90 	89 	37 	44 	43 	29 	59 	96 	3 	40 	58 	75 	98 	56 	46 	91 	52 	16 	25 	40 	24 	74 	87 	53 	66 	27 	72 	27 	94 	11 	61 	29 	77 	37 	63 	21 	16 	4 	1 	45 	19 	23 	86 	78 	32 	5 	58 	73 	86 	43 	29 	59 	23 	95 	90 	61 	18 	63 	61 
孙亚麻	201900800112	37 	68 	55 	48 	81 	68 	5 	46 	46 	21 	89 	49 	92 	66 	57 	9 	65 	8 	21 	69 	24 	50 	40 	1 	3 	21 	46 	76 	50 	89 	31 	3 	91 	63 	99 	6 	19 	29 	82 	51 	89 	45 	66 	76 	17 	56 	41 	26 	17 	64 	81 	47 	26 	60 	46 	56 	24 	85 	66 	62 	35 	60 	90 	98 	77 	72 	36 	50 	48 	51 	73 	98 	62 	98 	14 	52 	86 	16 	1 	47 	93 	61 	44 	37 	41 	8 	9 	66 	3 	64 
李脸书	201900800113	7 	40 	25 	100 	36 	98 	53 	79 	67 	11 	37 	12 	76 	93 	70 	10 	21 	35 	44 	17 	24 	55 	35 	1 	89 	28 	88 	39 	78 	68 	34 	19 	61 	46 	15 	16 	75 	29 	68 	85 	57 	51 	6 	85 	42 	71 	39 	37 	20 	55 	75 	25 	12 	42 	11 	94 	50 	52 	46 	22 	91 	64 	92 	75 	90 	30 	20 	50 	1 	54 	62 	39 	27 	38 	34 	86 	1 	82 	75 	62 	33 	68 	88 	88 	14 	24 	12 	1 	17 	57 
周苹果	201900800114	20 	56 	81 	68 	41 	46 	43 	70 	50 	46 	14 	1 	42 	54 	65 	75 	56 	25 	48 	92 	62 	16 	87 	69 	79 	45 	77 	97 	5 	63 	100 	71 	7 	22 	6 	96 	55 	94 	21 	49 	45 	52 	69 	6 	29 	89 	48 	82 	51 	44 	61 	94 	46 	1 	64 	83 	5 	97 	23 	74 	87 	55 	4 	53 	23 	1 	17 	15 	1 	85 	65 	26 	3 	75 	49 	90 	46 	81 	86 	96 	97 	18 	91 	7 	88 	34 	50 	18 	62 	94 
吴网飞	201900800115	98 	97 	24 	41 	75 	47 	43 	42 	19 	76 	8 	64 	11 	17 	100 	53 	79 	97 	19 	49 	81 	17 	55 	48 	97 	1 	43 	81 	12 	1 	88 	65 	91 	29 	27 	44 	34 	15 	37 	60 	93 	71 	12 	85 	43 	60 	5 	72 	41 	90 	67 	21 	31 	16 	95 	83 	78 	24 	76 	31 	86 	82 	82 	68 	48 	84 	53 	67 	59 	83 	3 	63 	31 	90 	57 	9 	27 	51 	50 	85 	13 	47 	99 	94 	23 	77 	61 	49 	60 	57 
郑优步	201900800116	78 	55 	70 	21 	61 	25 	33 	80 	77 	22 	32 	71 	72 	8 	60 	91 	23 	84 	59 	10 	93 	45 	39 	19 	25 	27 	46 	81 	66 	8 	19 	66 	8 	91 	29 	61 	10 	34 	74 	55 	61 	73 	84 	92 	16 	96 	79 	69 	22 	93 	26 	46 	84 	77 	6 	45 	59 	45 	69 	33 	11 	82 	64 	39 	21 	70 	7 	9 	62 	17 	63 	98 	53 	4 	16 	75 	13 	37 	43 	86 	19 	26 	34 	8 	86 	66 	79 	42 	38 	23 
王华为	201900800117	37 	31 	96 	49 	36 	4 	31 	99 	27 	37 	29 	88 	45 	6 	2 	40 	62 	72 	15 	82 	8 	60 	80 	46 	36 	86 	6 	67 	79 	36 	74 	17 	31 	12 	33 	37 	42 	60 	21 	74 	20 	72 	16 	68 	87 	4 	84 	99 	98 	91 	18 	75 	94 	92 	95 	99 	17 	88 	38 	2 	83 	92 	98 	24 	52 	70 	69 	38 	46 	46 	88 	42 	93 	53 	5 	16 	50 	61 	32 	83 	14 	46 	18 	69 	54 	65 	41 	19 	13 	47 
冯腾讯	201900800118	4 	50 	38 	44 	54 	27 	59 	64 	75 	7 	11 	38 	15 	3 	85 	60 	39 	58 	38 	81 	16 	26 	35 	63 	1 	83 	28 	33 	8 	5 	56 	6 	54 	14 	92 	85 	26 	81 	68 	40 	82 	27 	84 	98 	37 	82 	36 	77 	4 	51 	16 	27 	43 	68 	58 	41 	63 	74 	87 	49 	90 	86 	93 	66 	54 	1 	64 	65 	88 	64 	41 	34 	42 	23 	42 	45 	43 	7 	34 	80 	43 	78 	35 	71 	67 	49 	80 	53 	3 	23 
陈阿里	201900800119	93 	9 	53 	57 	37 	25 	20 	75 	55 	82 	31 	53 	34 	47 	64 	60 	64 	57 	92 	59 	13 	74 	48 	60 	48 	80 	27 	80 	90 	0 	87 	78 	85 	55 	51 	6 	17 	56 	32 	64 	94 	93 	72 	43 	23 	47 	22 	59 	2 	49 	93 	4 	11 	58 	3 	82 	12 	87 	43 	3 	60 	29 	32 	22 	12 	49 	56 	62 	5 	13 	97 	68 	91 	66 	72 	35 	73 	52 	44 	69 	26 	61 	23 	61 	12 	10 	44 	46 	22 	14 
